Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GT,140124,846279398,8.00235,2.31896,-1.74078,7.45779,2.899636269,1.673634998,-0.643931508,-1,9.58514,2.78303,0.835212,9.13351,2.905655703,1.862830425,0.291556676,1,2.68301
GT,140124,846299230,8.59904,3.18382,0.299141,7.98162,3.197842262,1.645721963,0.093681608,-1,5.78207,-0.023375,1.62735,5.54728,1.627517869,1.940255103,1.585159182,1,3.17577
GT,140124,846332262,18.8816,1.28682,1.94516,-18.7367,2.332284961,-2.780634196,0.986344615,-1,6.17279,1.35974,-0.374108,-6.00861,1.410265813,-2.156058223,-0.268488936,-1,2.43304
GT,140124,846332296,16.699,3.5731,-1.69977,16.2231,3.956799422,2.118698356,-0.444029892,1,4.0983,1.64575,0.546811,3.7118,1.734213174,1.504690392,0.320781018,1,2.56159
GT,140124,846343748,7.6507,-1.45348,-2.53529,7.06978,2.922379081,1.616792303,-2.091351551,1,6.02074,1.54163,-1.48902,5.62533,2.143316033,1.692534953,-0.768040594,-1,3.08864
GT,140124,846357346,7.63316,-1.3362,2.33928,-7.14116,2.694004706,-1.701811592,2.089771168,-1,2.84998,-1.07939,-0.788342,-2.51488,1.336624809,-1.389356234,-2.510780861,1,2.90109
GT,140124,846380514,19.0624,-2.78007,2.25203,18.7234,3.577768624,2.357187836,2.460746185,-1,4.54332,-1.55552,0.90713,4.1699,1.800701893,1.576523857,2.613641326,-1,2.08612
GT,140124,846418576,6.99401,2.02448,-0.538742,-6.67205,2.094937281,-1.875333373,-0.260086129,-1,3.42262,0.263453,0.957725,-3.27361,0.993299884,-1.908023774,1.302353794,1,2.04447
GT,140124,846431834,22.3793,-3.74344,-1.63658,-22.003,4.085552243,-2.385379141,-2.729445698,-1,12.6591,-1.96914,1.39095,-12.427,2.410861722,-2.342313557,2.526601397,1,3.09453
GG,140124,846638256,7.87662,-1.31208,-0.502157,7.7496,1.404889881,2.408946145,-2.776072502,-1,6.74205,0.45867,-2.18818,6.35969,2.235734752,1.768112449,-1.364175242,-1,2.58216
GT,140124,846645946,10.9835,-2.537,2.8418,10.3012,3.809487661,1.72047165,2.299588114,1,4.75505,0.746831,1.47831,4.45603,1.656247868,1.715725187,1.103003419,-1,2.83889
GT,140124,846659994,5.40987,1.58233,1.88003,-4.81843,2.457291401,-1.425997982,0.87116903,-1,5.33099,2.10311,-0.0991736,-4.89646,2.105447001,-1.580444514,-0.047120782,1,2.05742
GT,140124,846708429,7.80413,-0.138472,2.70707,7.31751,2.710609245,1.718906417,1.621903767,1,4.50589,-0.323051,-0.794163,4.42231,0.857354547,2.342979786,-1.957135318,-1,3.13706
